Sentiment,Tweet
7,rt inconvenience regretted matter taken necessary action
5,ask city police constable allowed without ticket without authority coach train
6,janani sewa launchedinfant food available nvrr platform2palakkad jn
0,dear sirac sabarmati express working since last hours please needfulpnr 2864717564
5,intimation railway tatkal ticket cancelation pnr n2319127483 trn n12430 96964500028004198641
5,sir train ticket comform abu road mumbai mother sick plz help sirpnr 2217892889doj 9616
5,siri trying make tickets new delhi darbhangabihar last week getting confirmplease help
3,sir train 12488 pantry carand important thing long route train
5,got double tatkal tickets cnfrmd login costing 12k technical issue costed doubleirctc 3515189
3,pnr 8403479266 food pathetic water cool cold drings warm sandwitch stale
6,thanks uts app facilitating hassle free travel good provide training tcs also
1,hanging chains middle berth broken pnr 4512791357
4,delayed thank muchboarded train thank much
0,train 15047 light working passengers suffering help
5,pnr 6107451949
6,security lags delhi sarai rohilla rly stn checking xray scnr ws der body operate
4,booked ticket 14312 adi jp train late hrs want cancel reservn bt allowng
0,18546 east cost express sleeper class s9 toilet smelling source station
4,unable trace parcel delhi cbe parcel staff idea whether material loaded wat
5,14316 tte comes hapur stn majority ticketless passengers deboarded useless buy ticâ
2,traveling 19806 child vomiting much water coach plz fill water coaches help
6,thatâs poor railwayspoor poor
0,sir ye sab hal habibaganj station mp bhopal ka hai toilet ka hai
0,pnr 6756068777 ac working dirty towel pillow cover
0,fan working 12673 cheran express s11 70
5,im cancer pt booked tkt fr checkup brother escortthey say possiblities tkt fr daugh 6yr12 tkt
4,im passenger aleppeychennai superfast train hoping catch least last bus indianrailwaydelay
3,dear sir food served shatabdi trains substandard dal paneer tasteless
0,huge huge scope improve train bathroom extremely dirty amp spread germs mumbai india
3,patna jn pf shop exprss food delvry chargng 20 rs 15 rs water bottlepls take action pnr6553173362
1,train arrive window clerk sadhana sharma goes missing
5,clerk give tickets giving advertisiâ
5,sir ankit singh previous day booked ticket tatkal quota get wt list please help pnr 6453141801
1,sirsaid missing person could traced despite best effortpl lodge missing report grp
4,pnr4740479198 coaches d1 d2 missing train please check miss train
4,booking train number 07006 rxlhyb special gaya want see current sâ
5,refund 780 credited account soon balance amount 143why much amount
7,sorry inconvenience matter noted
4,12378 really shameful almost train departed source 1st tweet traâ
6,user id macrohit date booking 281117
1,im travelling 64563 present security man nd gents travelling ladies coach train abt reach morinda
3,availability less requirement high food vendor provoded proper response every item 510 rupees extra
6,scenic indianrailways near igatpuri mumbai nasik route thullghat kamayaniexpress
5,unable file tdr pnr 8535014323 last hour allowing wrong thing tc
0,travlng 12328 trn bi coach surprised find one toilet lock key word cleanliness prevail train
6,feel like work intercity trains carry maximum job proffessionals reach office neat clean
2,need medical assistance train 12554 pnr 2417720180
3,many passengrs pnr 4512791357 feeling stomach upset dinner frm railways pantry
5,trying book tatkal ticket last day daily problem exist please needful
6,reply
0,sleeper ac broken windows rats cockroaches moving freely dirty old curtains bed
3,tnde railway station water cooler working single source water hell service 45c
0,2040 train kota one contacted solves airconditioner matter 12218 a1
1,evrythng railways going next level security guardur fairly place kol ofc securities rude misbehaved
7,inconvenience regretted matter taken necessary action
4,railminindia details available pls
5,one able make tatkal tickets except brokers jpg stationtake immediate action railway staffs
6,rt passenger traffic also shown significant growth reserved amp suburban segmentsover 5cr additional passengersâ
4,train departed itarsi concerned delay miss flight dueâ
7,kindly look
0,pnr2118939314trn12616dt10062016frm ngp cd ac working last half amp hour
1,bags valuables stolen safe travel indian rail pnr8145511i318345511270
1,light stn plz check
4,sealdah delhi rajdhani 12313 running hrs late pls something abt urgent reach delhi
6,brave work rpf soldier railway station
4,sir 12944 running late half hourplease help us
7,rt glad inform amp confirmed multiple sources newspaper distributed railways officially couâ
0,india railways looks like cant get better
7,sorry inconvenience complaint attend itarsi
5,current booking thr wr seat ac2 cant get confirmedcurrent booking wtng ac
6,look outside boundary wall old delhi rly stn mess vendors accumulated garbage traffic jam unusable urinals
5,even though reach early wait whole night outside post office booking tatkal tkt dont get agents
1,phone robbed bykinnar mehboobnagarrpf amp tt refused proper helpneed help
2,wife travelling 12310 rajdhani b3 56 unbearable pain stomachneeds medical assistance 138 nt wrkn
5,complaint noticket id irctc 3513198 ko check karke please resolve problem shanker naryani mb8960095188
3,neither cooler working platform 1re water available tap
5,traveling wife kids help berth allotment booked tickets
2,sir couple traveling sc train 07092 2yr old kid due train delaymilk tâ
5,sir irctc site completely since 11 time tatkal disappointed
6,cleaning staff cleaning coachs floor regular intervals
4,rain 05514 worst den summer special geting kind suvida suvidha train mre den 8hrs late
1,security passengers tarin theft chennai bilaspur express 7june fir filed lost valuable
3,launches optional catering scheme two premier trains
6,solution
0,cant even use restroom corridor full unreserved passengers please help asap22
6,rt member traffic reviewed april nov transportation performance rly board zonal rly officers passedâ
5,change name eticket passenger pnr no4320260809 kurnool krntstating days required rule 24 hrs
6,sir update reviewed see action taken pl visit take action
3,kindly add water bottle catering menu order food rs40 face problem coz min order amnt 60
7,pls look matter
6,rt holistic strategy ensure growth
6,didnt expect service rajdhani travelling sampoorna kranti service fantastic
0,traveling train 12493 pune cleaning services mosquito flies comprtmnt plz tkaction
0,jbp pltfrm no6 mess looks bad otherwise clean platform
5,pathetic satitution viashali ex b112554commercial staff allows general tkt passanger coach takeing bribe urgent
5,facing trouble name change fathers ticket name per rule ncb amp cob
3,ordered food irctc catering cumshum vendor luk station didnt got food till hving kid
3,amp pantry car ppl train number 12493 overcharging food providing menu card pnr 8535323910 b1 13
5,given best suggestions solutions indian railway always confirmed rail tickets connecting indian
5,thank much sirmy money refunded
7,sorry inconvenienceyour complaint attended cnbstn
4,train status shown ntes train running delay bw mughalsarai allahabad much frustrated
5,ijust wan na tlthat please make strong server irctc sitemany times booking ticketserver goes
6,many innocent people suffering kind ofâ
4,winter fog days still late trains looks staffâ
0,train 17211 june gnt ypr dirty water train complaint tc use plz take action
0,train 12554 seat a2 17 charging socket working pnr 2865448765
5,cant even log tatkal timewhy dont increase bogie howrah jamalpur expressdisappointed
7,sir laptop could traced despite best efforts thanks calling us
5,
4,could confirm time train reaching mumbai
6,sir want set rail neer bottling plant jaipur nearby area could let know process
4,details available pls
5,dear sirticket pnr2119096244 booked paying 923 amp automatically cancelled due nonavailability berths
6,rt win fifty ya amp newadult uf fantasy paranormal romance pnr amp dystopian ebooks paperbacks
6,true alp willb retired 55 instead usual 60 would gross injustice true
5,sud see irctc functions tatkal hourspeople suffering forced pay 2k agents
7,matter informed concern officials regards
5,booked ticket nizamuddin eranakulam duronto pnr 2647352639 current status ckwl2
0,payampuse toilets narkatiagnj jn pltfrm overchrging fr toilet urinte rs free toilts faclity statn
1,urgent depute lady security force s4 seat 4148 ramnagar exp 19061 approaching bharuch
0,pune nizamudin durantothere water dropping b5 toiletattended said like
3,parents travelling 15231 pnr 6408164808 coach s5 nâ
7,sir sri mohd jamshed mt sri pguha principal edcoachg kindly reâ
0,travelling surat kanpurtrain 02534 bed condition washbasin water plz take step
5,pnr 2720271036
5,train 11020 3rd ac 80 tatkal ticket sold 13 second trying since juneno luck
5,sir please let know name chañge eticketno one responding placepl help
0,water getting wasted panvel station maharastra platform no7 help draught situation
3,person traveling frm train 11071 coach b3 water supply since morningpls help
0,father travelling pnr 2119093949 informed fans working coach cnt7773004713
5,dat possible sirwe hv give 200 extra da agent buy ticketsthis fair plz help
5,still get seat unless bribe tte refer complaint wwrbct000132702
5,kinly help irctc refund follow irctc since 24th may
6,one responding phone call enquiry jamalpur station please consider complaint becauseâ
5,dear sir book ticket cancelled refund given plz help
6,rt
0,2319103685trn no14854 pnr charging socket coach a1 working properly tripped several times
5,dear sir railway cancel train due work railway paying refund
5,kindly look
7,sir inconvenience regretted please lodge fir lodged grp pursâ
5,think buying 1st class ticket mumbai local proves bigger asshole diff
0,train 12548 coach b2 problem ac working one help pls
0,travelling mahanama exp22417 pathetic experienceregret watching news zee 12
6,rt alert rly man best safety device
5,booked tickets irctc mobile app tickets booked payment done areâ
4,sir please delay train 10 min please
4,cases way please suggest solutions
7,inconvenience caused regretted facility provided platform number oneâ
7,kindly share train
0,sir train 22824 coach b5 train left ndls still toilets dirty amp waiting passenger travelling
4,lights platform pitch dark late evening early morning inconvenience passengers
6,plz continue train 1430714308
2,one attended cor reach kota coâ
4,please share train coach position
4,sir train alredy 2hrs late amp ac staff switch ac igatpuri
0,travelling15657 new alipurduar guwahatino new bed covers amp smelling bed sheet blanket condition pathetic disappointed
1,take serious action people understand rules lâ
5,ticket checkers bothered
6,enjoying wifi lko stationgood speed15 service tax wifi cleaning also good
2,need medical assistance train number 12554 pnr 2417720180 feeling stomach pain
0,water scarcity palamu express 12348not single drop water toilet origin s4
4,train 12562 schedule depfor 2035then 1100pm announced 0035am amp one knows 12
1,sir fir lodged grptundla vide crno nil1916 us 379 ipc transferred grpetawa
0,12904 brc bct seat s5 55 fans working help greatly aplreciated
6,rt petition like continually cut pso invest public transport travellâ
5,irctc booking tatkal site slow even 30 mins prime time two weeks ok
6,rains ring road puram silkboard blore jam pack rechd office 1pm instead 9am
0,water coach s3 train bskt kamakhya express 15623 train reach baurani jn
0,sir promote swach bharat abhiyan brokers toilets various railway station charges 10 rs using toilets
0,travelling bnglr murudeswar train 16523s5 coachtoilets stinckng tough passengers sit
5,process student concession season tickets critical ajmer railway region udaipur helpless
7,rt
4,train 12502 made unexpected late without reason held ahraura since last one hour
4,train 12241 journey cdg ldh 100 mins train stopping every station late 30 mins
6,ultimate speed coming free wifi provided google lucknow railway station thanks
5,sir tc collector every train take black money allotting seat depend ticket min 200 hpnd wid
0,really bad service rac 3rd ac category really bad experience pillowno bed sheet really rude staff
6,thanks reply
3,actual price dinner food railway porbandar motihari exp 19269
5,huge crowd waiting get tickets fr train 16116 vm stn counters functioning pls increase counters
5,sir irctc ticket booking site goes stuck daily 11 1130 tatkal booking
6,yes
3,want know meal throughout journey reply soon possible
2,child suffering high fever take carlpol syrup train 12565 a140
6,
4,pathetic railway train overtaken cheoki dis suvidha stuck mre 1hrs 05514
7,
6,
0,continuos water wastage fr om southern tap patna junction platform 9dont know contact
3,water served train 12295 food pnr 4419894531
5,ajmer exp people sleeping local coaâ
6,progress mumbai harbour line snail slowcattle class traveling
5,irctc shows stupid error trying book tatkal lost dint get tikt tnx awesome bugs
0,vr cleaning station wat abt train coaches swach train
7,matter forwarded concerned official na
2,sir taking furthr action adv 012015 sse way sr zone medicaljoiningno information given sr hq chhanai
5,taken police general coaches
4,incredibleindia journey tym 12 hrs trn running late almost tym leads frustration whn dontâ
0,sir booking tab tiger express website working
0,12204 magadh express dirty leaking stinky toilet coach b1 pnr 276437435
1,check thief catcher prolific reader instafreebie freebook whattoread pnr
4,train 22488 ndls jogbani bihar running late 711 hours daily instruct regulate
4,plz help coach position train 19321 coach a1 jaunpur jn
5,want help ticket wainting list no1 rajdhani pnr 2418289059 urgent visit please date travel 09062016
4,absurd mumbai local trains never reached time always getting late kalyan junction dombivli
3,expecting strict action overcharging instead received mail stating counseling done
7,stnl stn concerned officer mini
6,rt saturdaymotivation punish murderers engineer husband thrown train byâ
3,travlling trn no15024 ypr gkp frm kcg lkopnr 4836770906 vendors ovrcharging cold drinkschips rs 5tea rs10
5,please help pnr number 2820176609
4,sir train 12562 runs apprx hr latedaytoday also running latei want draw ur kind attention towards
7,kindly clarify name station
5,refunded counter waiting list counter tickt chart prepared travelledpnr 2418998762plz help
5,like airport fees railway must charge rs25 per ticket station development maintenance fees
4,tweet late today morning peak hours 2025 mins jam packed made india
3,got stale snacks train no12791 eveningberth no55 b2 3a vendor argued denied
3,travelling b4 33 34 22461 tea worthless quality poor complained misbehaved vendor trainplz help
0,traveled stations last days never seen stations clean hygienic coaches amp toilets absolutely clean
4,hundreds ppl waiting plateform 13 since last hrs one take responsibility 22
3,pnr 2219054565 orderd food frm train frm catering dont hv print ordr slip require
6,sir since morning two time connected 01139340000 give bad response 12
0,air conditioning functional coach a3 12424 dbrt rajdhani departed ndls 10jun request attention
0,ws lko charbagh station ystrdy lack sufficient sitting arrangements platform ws vry dirty
5,ajmer exp people sleeping localâ
6,wants given best ideas technology indian railway development japan china
6,rt process drawing policies sectors economy increase busineâ
4,plz favour jaunpur jn jnu one foot bridge covered coaches indicationsâ
3,train12009 c812 found fly food unhygenic unsafe buckuprailways
7,highland moon enchantment mary morgan historical pnr via
1,bag stolen traveling mathura color mustard mk written cash imp documents
0,water available train 22944coach s10pnr 8148142547
0,pnr 8148161618no water taps provided washbasin toilets
3,missing cutlery drink sache etc server tt say menu old 12006 c1 65 1006 fyi
3,sir tweet delete water point action
4,maximum train stoppage bharuch want also stoppage train evening time aâ
0,filthy toilet a1 coach shalimar exp 14645 coach smelling rotten any1 reduce tragedy
3,sir yesterday saw launch irctc menu kids healthy junk food pls look
1,sir fir lodged grpgwalior vide crno 7516 us 380 ipc
6,rt dark pursuit pnr holiday story sale 99cents
5,please take na
6,sir attended mother berhampur amp khurda road problem thanks calling us
1,train 12554 doj 10616in frst general coach2nd part ppl fighting another ppl therewhy
0,problem still persistno water toilets wash basintrain halted small stops making late
3,replied complain cani irctc vendorpnr 4119867656
4,today morning peak hours trains jam packed amp late almost 1520 mins made india
5,sir plz help get handicap id card online ticket booking irctc officials cstm stn helping
6,thanks quick responsestaff attendedinform sun window screen sorry misunderstanding part
3,12142 please enquiry pantry carmineral water neer salecoming station santasale water local company
5,dearsirmymom gt60 yrs law 46 hv cnfrm ticket yuva pnr 2547183534 ub bth fplz help forub lb
5,ajmer exp people sleeping local coash senior citizen ladies many people standing
0,train no12791 coach b2 water toilet since morningkindly help
5,dont know transgenders enter sleeper class without valid ticket bag money bother young boys
3,water point vendor pf charging extra money water without reason
0,cleaning staff railways dumping garbage gaps vestibule area
4,sir mai month 56 bar yatra kr aur aaj bhi kr rha 22408 anvtbsb se aur hr bar ye late aur aaj bhi late
3,sir get paying cheating name food
0,boarded train number 04416 starting new delhi station b2 compartment completely dirty
6,replace boggie latest
0,last night travel badneramhfound cleanlinesstoiletswater dispenser bad shape
0,water b1 15232 since noon people buying mineral water go washrooms please help pnr 6352338749
7,attended kota please share mobile
3,vendor simply overcharging charging 20 rs instead 15rs printed mrp
3,thnks baby food selected stations cant essential medical stores jan aushadhi scheme
2,middle birth fall sleeping lower birth due technical fault middle birth
0,presently traveling tata nagar jammu muri express18101we facing lot problems mainly water toilet
5,get aadhar passengers travelling get details automatically mobile nos send ticket details
1,sir fir lodged grpmgs vide crno nil12716 us 379 ipc transferred grpndls
4,sir ndls st plateform counter one no8 active commuters facing problems
4,train 12724 halt since 30 mins hazrat nizamuddâ
2,2139649203 name ahmad ali d2 sheat 29
0,travelling extremely unclean compartment falaknuma 12703 cleaning done compartment b3water loggedâ
6,
6,mumbai locals collapsed first day monsoonhope suffer season
5,travelling 12955 frm mum kota sunshine vendor charging 25 rs ice cream rs 10 evn objecting refund
0,train 19168 facing horrible cooling problem since early morning necessary action
6,
0,12111no water b3 b4 raised ttecalled igatpuri action bhusaval pls help
0,difficult locate dustbin wardha railway stn expect keep clean
4,benefit paying 20003000 sleeper tickets train running late
5,mother cancer patient get confirm ticket
5,say service got promptsample thisfiled tdr 13th feb 16yet get refund
4,ntes national train enquiry system updating mumbai localtrain running info properly
0,pnr 8248171565train no12141 train started hrs back toilet dirty light toilet water
0,rt fan working train12295 coach s24748 please assist
6,railminindia responce railway plz look matter
3,food quality bad behaviour vender rude
4,train no05514 hours latethis train suvidha waiting train least hours
5,must check online tatkal ticket conspiracy agentsfeed publicbeingcheated follpublic govtloot
7,kindly share pnr number action
7,matter fwd
5,use unused ticket today express fast passenger 4pmtoday buy new ticket
7,matter advised concerned official necessary action
0,fan isnt working last hours time peak summer help pnr 4512791357
5,booked eticket pnr number 6153163290but till receiveing ticket message resistor phone number
0,charger points complete bogie malfunctioning need immediate attention pnr 4512791357
4,train 12903 stuck kosikalan palwal since one hour info start overhead wire broke
5,irctc looting customers non confirmed tickets deducting 20 even non confirmed wl tickets
1,help help handbags valuables stolen safe travel indian rail pnr8145511i318345511270
7,kindly share pnr number issue referred concerned officials
6,
6,check pics railway failure
1,wifes golden chain mangal sutra snatched train pnr8402856864 location
5,disappointed trying ticket past one half hours travel
0,ltt dbg suvidha train 05514 working fan s1 locomotiveside fan
5,plz remove berth preference tatkal bookingwe want tkt anyhw berthso ur choice metis jst time consuming
5,ive called railway enquiry didnt receive satisfactory answer
0,pnr8347596623 sirthe ac working coach tte refused write receitfor refund
0,unable sit due sticky stains berth pnr 4512791357 help immediately
3,pls needful get water train 18104 tata amritsar exp b1 coach
5,irctc site show side middle berth optn puriypr garib rath amp ticket shows side lower
5,wonder tatkal ticket booked agent general people
0,air conditioning effective a2 coach mysuru express chennai central
5,booking tiket irctc payment done tiket booked happened twice refunds till irctc
1,urgentpease hlp sis travlng vid 9months baby 2kids intrain12479lost reticuleshe depressdpnr2419055140
0,train 17623 pnr 4320497723 housekeeping selling water dat viz printd rs15 ttes presenceno soap toilt
3,unauthorized vendors selling food beverages water train 14645 taking overprice9451010334
6,rt hot newrelease bestselling author grace goodwin pnr scifi tw4rw cyborg beast grace goodwinâ
5,sir train 19046 overloaded wid wait listers amp current ticketers due confirmed passengers problem
4,train 12308 hours ssm jn cant get running status aur cancellation info
5,ticket pnr 8465175527 cancelled id 100000083493884 refund received yet
0,water wasted lttmumbai action taken station master
4,train overtaking dis suvidha train inspite double track train stopped hours train psssed
0,good morning india sir chapra railway station stay tapti ganga express clean general bogey plz rectified
1,guy missingname avinash singh age 23plz help find 7873737047 9938178192
4,varanasi sealdah upper india exp getting late everyday much depending trainpls solve problem sir
4,filed tdr 1st may response till train diverted much delay response pnr8646785551
7,sir matter great satisfaction missing person tracedthanks calling us
4,loss rupees 2500 monday due 25 hrs latency jbpind express bad late without reason got late ofc
0,frequent traveller 16022 16021 train initially saw dust bin cover sleeper could find reason
6,habit make crowd dhkka mukki tickets
0,respected sir please clean coach train 19327
1,security pssngrs trains real prblm eastern railways everyday chain purse snatching takng place
5,rating coach qualityrank cr2 wr3 nr4 nwr5 scr sachkhand exp rake poor
7,sorry inconvenience complaint attend itarsi
0,pnr 4512791357 mosquitoes flis hovering pls cleanup tt responding positively
5,ghar satyanarayan ka paath karvaya haishayad ab mujhe dilli ki ticket mil jae
5,ajmer exp people sleeping local coash senior citâ
1,joydev gangully 8616 returning falaknuma express around 517am two atm card amp cash rs 2000 stolen
6,train last 23 coach
1,traveling 12947 s10and security railway see security person 930 430
5,appreciate grt wrk pls look irct site also tatkal bkng hrs joke prabhukiraftaar
4,railway making mockery passengers called suvidha express unnecessarily running late 12
0,19259 water s6 stinking sad plight10jun
5,isnt tatkal booking allowed every station counter unable book teghra stationtga
3,open corruption done pantry car ppl train 12562 swatantrata senani express
5,refundedplease provide justification deducted amount
6,
6,traveled stations last days never seen stations clean hygienic coaches amp toilets also clean kudos
3,appreciate efforts rly ur rpf menaceall time eating pantry passengers dont get service
0,monsoon kerala train 12075 leaking windows shut properly pathetic plight
0,starting end coach closed doors like ac coach stop smell entering coach toilets thnx
0,duranto exp12262 food excessive spicy unable eat cockroaches roaming inside toilet stinking coach be1 seat 343537
3,city first get water atm rly stationwhich cities installed water atms pls reply asap
0,toilet b3 coach 11081 leaking please something asap
4,local train service bad harbor line place commuters please help
3,adulterated water given ppl paschim expressvendor refused2 give rail ner
0,pnr2646997109 trn02396 b2 ac didnt wrk al starting plz refund ticket thanks
0,pnr2865480614 mobile charging points working please resolve
4,sir train 12276 running late hrs provision even getting tea board passenger
4,train number 13288 delayed hours ntes says time reached
1,sir fir lodged grpjaipur vide crno0011516 us 323 amp 341 ipc transferred grprewari
2,please help pnr number 2820176609
4,one taking responsibility either ndls bza supposed delivered 4th work suffering
4,let trouble train got cancelled without informationmy journey stuck betweenâ
3,dear sir took good initiative wateratm machine dispensing 900ml water price 1ltr
1,sirplease hlp sis travlng vid 9months baby2kid intrain12479lost reticuleshe vry depressdpnr2419055140pls asist
1,sir missing girl could traced pl lodge missing report grpsiliguri
6,rt
0,first class coupes ranchi hatia express old poor air conditioning replac
3,sir catering services double decker train no12583 lko anand vihar termina poor venders irctc selling poor
0,uncle trevelling train 15656 coach nob2 found toilet coach dirtyplz something
0,train 15005 ac working dirty
6,sr aap kya kahenge koi action lenge aap ya nahi
6,great prime minister works 24x7 great work
0,educated people leave india coz poor quality life want high quality railways railway stations
7,
7,official concerned advised look
2,sir long time publishedin 0315 panel cen 022014 rrb guwahati bt yt medical nt taken
0,water supply washrooms last hours pnr 4512791357
1,many unresered people coach lead security issues8647770808 pnr coach s12
6,swachbharat looks like
4,fzrkir special train 05718 beeb delayed 700 hours whats reason delayed nobody care special train
3,booked ticket bbs duranto cnb bbs 26052016 1cnfrm nd waiting seats food provided refund
0,berth env quite unhygenic insects wandering pnr 4512791357
1,nzm rly station think guys playing security country amp passengerdoserious
0,water sl coaches 12801 please needful next station pnr6252433960
0,travelling 16227 s6 toilet smelling horribly sorry rt handle complaints
6,awesome posted tweet
6,thank lot showing quick response helping sister efficient team doctors
5,tt accepted bribe train12344 coachb3 allotted seats wronglyhell get malda shortlyact soon
6,sir want action tweet fomalty want improve râ
2,medical issue need ac coach ready pay extra cost ow cancel journey pnr6755770127 train18006 plz help
0,kaithal haryana india whatsapp 08684039437no cleanings station plz massage related staffthnx
3,rt im general ticket counter nhh stsn clerk says tkt given 30 min train arrivalâ
4,12930 dahod valsad superfast train today 25 min late train single day coming onâ
6,changed passenger centric face railways visâ
5,name passenger wrongly written ticket due passengers fault correct journey date
0,sir ye toilet mumbai central ke main line ke upper hai yah toilet ke rs lete jab ki railway rs hai
6,thanks help
4,train 12501 reached mgs amp still running 915 hrs latepls care
0,whole berth area shatterd peels various organics need immediate cleanup pnr 4512791357
7,sir father traced vizianagarm handed ur brotherthanks calling us
4,india ac waiting room charge premium 30 hour chennai egmoreâ
4,take chocolate first place need change
6,unless fine people make messdirt railways like dmetro clean railways dream
0,please send immediate help 19046 train running without water toilets
1,mom travelling 4m train 11094 pnr 2762510778purse stolen nt cntctble rqst manage cntct 9673760221
4,double deker train always late face problems ac function poor
4,pnr 6552618649 visa appointment tomorrowtrain already late hoursplz help
5,prabhu aap bhi gya passenger get tickets
4,2n parcel supposed loaded day unloaded next daytill date yet loaded
7,kindly share pnr
4,12505 north east express delayed 645 hours someone see reaches anand vihar soon possible
0,prabhu sir passengers traveling rajdhani first ac definitely deserve clean bathrooms soaps apart clean coupes
0,sorry inconvenience complaint attend itarsi
5,15 tatkal agents front nagpur railway station vo kisi aur ke naam pe ticket nikal rahe hai plz help
